e_score,s_score,g_score,total_score,doc_vector
1.16,10.51,5.51,17.18,"[0.2843199074268341, -1.5003740787506104, 0.4645830988883972, -0.9494433999061584, 0.4525914490222931, 0.9083898663520813, 1.2130049467086792, 0.7766359448432922, 0.17633309960365295, 5.32747745513916, 1.1372406482696533, 2.9031615257263184, -3.2569143772125244, 2.1900086402893066, 0.39083293080329895, -4.559961318969727, 1.772976040840149, -1.4001303911209106, -3.2685649394989014, -2.178180694580078, -3.2976510524749756, 1.6817827224731445, -2.999929428100586, -2.5155704021453857, 3.165118932723999, 1.308465600013733, -4.291104793548584, -1.018189549446106, 0.315408319234848, 0.4392319917678833, 2.0273168087005615, 1.6918319463729858, -3.9105944633483887, 1.4633580446243286, 1.2316020727157593, 2.4413936138153076, -2.2359464168548584, -0.24209293723106384, 0.3238030970096588, -0.08133973181247711, 1.3442447185516357, -0.21303005516529083, 1.9792677164077759, -3.5141875743865967, 1.5618841648101807, 1.7254748344421387, 0.062201134860515594, 5.398348808288574, 0.12003376334905624, -2.450322151184082]"
1.14,9.85,5.27,16.26,"[0.08084584027528763, -1.652313470840454, -0.07144075632095337, -0.4293198585510254, -0.46353238821029663, 1.988101601600647, 1.068038821220398, -1.022570252418518, 0.3493883013725281, 4.823040008544922, 0.48086312413215637, 3.407222032546997, -3.2145297527313232, 1.989620566368103, -0.17244839668273926, -2.80077862739563, 1.8247182369232178, -0.7736744284629822, -2.74491286277771, -2.3633735179901123, -2.8897976875305176, 1.0009788274765015, -2.5923948287963867, -2.1164402961730957, 1.85627281665802, 1.7334316968917847, -4.2907586097717285, -0.49331849813461304, 0.477669894695282, 1.9165911674499512, 2.00309157371521, 1.2352911233901978, -3.459271192550659, 1.125886082649231, 1.0170307159423828, 2.0298776626586914, -1.2928844690322876, -0.11607018113136292, 0.10643833130598068, -0.2230454385280609, 0.5254052877426147, 0.5077375769615173, 1.8007339239120483, -2.6846344470977783, 1.6667287349700928, 1.5943105220794678, -0.7357446551322937, 4.8889055252075195, -0.03573325276374817, -1.9379500150680542]"
6.51,12.91,6.55,26.0,"[0.206500843167305, -1.1840826272964478, 0.016739128157496452, 1.1099411249160767, 1.1877448558807373, -0.020642932504415512, -0.5076233744621277, 0.7268701791763306, -0.8844040036201477, 3.0132248401641846, 1.7318449020385742, 0.25925424695014954, -0.6998928785324097, -0.44691136479377747, -1.1663103103637695, 0.5809864401817322, -1.4224604368209839, 3.321119785308838, -3.207740068435669, -2.528024435043335, 0.018030527979135513, -1.075669288635254, 0.7863462567329407, 1.1034351587295532, 2.916919231414795, 1.2762441635131836, -0.09450221061706543, -3.564490795135498, 0.9192599058151245, -2.0388095378875732, 2.8713979721069336, 1.1016771793365479, -0.5093324780464172, 1.3635213375091553, 1.0278817415237427, 0.11904822289943695, -0.5988283157348633, -3.8360090255737305, -0.8307029604911804, -0.2670077085494995, -1.0645719766616821, 0.2048434019088745, 0.6494664549827576, -2.401900053024292, 2.218968629837036, 1.9197531938552856, -2.649446725845337, 1.2441927194595337, 0.9753190875053406, -2.0325725078582764]"
6.44,13.0,6.45,25.89,"[0.5450791716575623, -1.4601194858551025, -0.008983838371932507, 1.0639485120773315, -0.03963913396000862, 1.1509037017822266, 0.6793307065963745, -0.42636194825172424, -0.3428362309932709, 3.026719331741333, 1.4652862548828125, -0.0655246451497078, 1.0904792547225952, -1.1915956735610962, -1.8253264427185059, 0.703283429145813, -0.8879805207252502, 2.6936187744140625, -1.0852841138839722, -1.9479140043258667, -1.4588623046875, -1.3435344696044922, 1.278791069984436, 0.8174436092376709, 1.857237458229065, -0.2862215042114258, -0.9500218033790588, -3.886035442352295, 1.648098111152649, -3.8168537616729736, 2.5073370933532715, -1.1653279066085815, -1.928955078125, -0.006621695123612881, 0.2949276268482208, 0.5879933834075928, 0.9493349194526672, -3.842698335647583, 0.07741564512252808, -0.10345260053873062, -0.8202493786811829, -0.7544614672660828, 0.7072303891181946, -2.9070820808410645, 2.130070209503174, 1.3993850946426392, -1.6711256504058838, 1.8028830289840698, 0.2263185679912567, -1.5699329376220703]"
5.83,12.36,6.28,24.48,"[1.186230182647705, -1.1318355798721313, 0.21987184882164001, 0.645672619342804, -1.727524757385254, 2.418593406677246, 1.938045620918274, -0.32281944155693054, -1.0947754383087158, 2.2624073028564453, 3.1629836559295654, -0.6653163433074951, -0.2727507948875427, -2.705434560775757, -3.7705514430999756, 2.852818012237549, -1.7765449285507202, 1.4390093088150024, 0.17403841018676758, 0.04535236954689026, -0.7370732426643372, -1.1967265605926514, 1.993731141090393, 0.8622553944587708, 3.920125722885132, -1.5535485744476318, -0.23907990753650665, -3.275446653366089, 1.6342278718948364, -2.955565929412842, 3.4719574451446533, -0.42207789421081543, -1.9636611938476562, -0.8715654611587524, 0.8497930765151978, 0.44869688153266907, 0.3609549403190613, -2.489859104156494, 0.4086843430995941, 0.8973338007926941, -0.7701372504234314, 0.2255314588546753, 0.766676664352417, -4.549988746643066, 0.556397020816803, -0.08746982365846634, -4.619899272918701, 0.7983531355857849, 0.16472138464450836, -1.2171272039413452]"
4.89,9.42,5.63,19.94,"[1.3685458898544312, -0.05612534284591675, -0.016189059242606163, 1.4261360168457031, -1.0795632600784302, 1.7615630626678467, 0.1401975154876709, -0.5764783024787903, -0.5474905967712402, 2.040299415588379, 2.901235818862915, -0.19873496890068054, 0.3291592299938202, -1.4569628238677979, -2.5630016326904297, 1.721927285194397, -0.8063748478889465, 2.4319255352020264, -0.2028435617685318, -1.261431097984314, -1.0555927753448486, -1.028990626335144, 1.4799476861953735, 0.555443525314331, 2.0052595138549805, -1.3585939407348633, -0.6088305711746216, -4.035759449005127, 1.2155582904815674, -2.9571797847747803, 2.5494558811187744, -1.2741272449493408, -1.6368482112884521, -0.28143414855003357, 0.8623114824295044, -0.3966839611530304, 0.4996342658996582, -3.0679502487182617, 0.33984264731407166, 0.7290953397750854, -0.7722094655036926, -1.1579878330230713, 0.9786343574523926, -3.2716665267944336, 1.0800282955169678, 0.1631213128566742, -3.8859786987304688, 0.19624102115631104, 0.6475839614868164, -1.336134910583496]"
1.71,9.14,15.89,26.7,"[-0.8220859169960022, 1.0988759994506836, -2.0354702472686768, -0.906199038028717, 0.9909230470657349, 0.30353665351867676, -3.065335512161255, 1.244051456451416, -1.534438967704773, -4.421411514282227, -1.494918942451477, -0.939670205116272, -2.8105716705322266, -1.547777771949768, -3.931304693222046, -1.7372260093688965, -0.006030065007507801, 1.4680919647216797, 0.161469966173172, 1.951288104057312, -1.3905465602874756, -3.7179982662200928, -2.0000054836273193, 3.336587429046631, 2.712735176086426, -3.5889010429382324, -3.7208871841430664, -3.3389523029327393, 1.9789636135101318, -1.6875778436660767, 2.1143441200256348, 2.84391450881958, 0.8605504631996155, -4.978110313415527, -0.16597731411457062, -1.50340735912323, -4.435867786407471, 0.9549291133880615, -0.6076135039329529, 1.0093556642532349, 1.2114825248718262, 1.7350069284439087, -0.8542141914367676, -4.190347671508789, -1.154388427734375, -2.3716108798980713, 2.778928279876709, -1.0499531030654907, 1.5108420848846436, -4.142241954803467]"
1.71,9.42,15.3,26.42,"[-0.831671953201294, 1.2096161842346191, -2.0264108180999756, -1.1895904541015625, 1.3112939596176147, 0.49448931217193604, -3.301816940307617, 1.2877037525177002, -1.8744032382965088, -4.502800464630127, -1.3108787536621094, -1.4098807573318481, -3.2563366889953613, -1.9090269804000854, -3.880938768386841, -2.0308055877685547, 0.22710967063903809, 1.429551601409912, 0.04736044630408287, 1.853810429573059, -1.6949447393417358, -3.64467453956604, -2.428492307662964, 3.913590431213379, 2.795924425125122, -3.7530760765075684, -4.353474140167236, -3.336406946182251, 1.6891456842422485, -1.614365816116333, 2.09942889213562, 3.4869916439056396, 1.043443202972412, -4.868707180023193, 0.11821901053190231, -0.7196487188339233, -4.571106910705566, 1.2459720373153687, -0.7842546105384827, 1.153031826019287, 1.0864698886871338, 1.8721873760223389, -0.6119086146354675, -4.435374736785889, -1.5630823373794556, -1.9325941801071167, 2.5087594985961914, -1.974726676940918, 0.8357722759246826, -4.4375529289245605]"
1.78,9.11,14.53,25.41,"[-1.1861976385116577, 0.8512365818023682, -2.040571928024292, -0.9762837886810303, 0.5406707525253296, 1.6243534088134766, -1.8254142999649048, 0.5406309962272644, -2.119964838027954, -4.7170844078063965, -1.4574708938598633, -1.966479778289795, -3.5109126567840576, -2.2946767807006836, -4.470041751861572, -1.380306601524353, -0.08789017051458359, 0.5028904676437378, -0.0883408710360527, 1.4417216777801514, -1.5043269395828247, -3.8829023838043213, -2.914355993270874, 4.502763748168945, 3.4410390853881836, -3.2672300338745117, -4.708611488342285, -3.0044989585876465, 1.178481936454773, -1.5890369415283203, 2.4608232975006104, 3.557953357696533, 0.6462737917900085, -4.884544372558594, -0.24299262464046478, -0.46757563948631287, -4.833434104919434, 2.2614569664001465, -0.4869788587093353, 2.025881767272949, 0.9876368045806885, 2.3850529193878174, -0.5325330495834351, -5.218160152435303, -1.3277231454849243, -2.439509868621826, 2.6733500957489014, -1.0892778635025024, 0.19381847977638245, -3.9696028232574463]"
1.83,9.42,13.47,24.72,"[-1.1852318048477173, 0.2901810109615326, -3.0967278480529785, -1.1291437149047852, 1.1794371604919434, 3.3711040019989014, -1.9756585359573364, 1.846297025680542, -2.831282615661621, -6.217934608459473, -1.508388876914978, -2.9598660469055176, -1.6451700925827026, -2.264549493789673, -4.590953826904297, -1.2718392610549927, -0.5967262983322144, -0.7927311062812805, -0.28778916597366333, 2.469954490661621, -2.0407984256744385, -4.482016086578369, -2.5952162742614746, 5.42799711227417, 3.7155537605285645, -3.1826393604278564, -3.9974234104156494, -2.7230887413024902, 0.7752984762191772, -1.8400585651397705, 3.0882346630096436, 4.630742073059082, 1.1706260442733765, -5.7121734619140625, -1.0098763704299927, -0.4154655933380127, -4.640469551086426, 1.2414278984069824, -1.0025521516799927, 2.6807515621185303, 0.5965360403060913, 2.7561888694763184, -1.378627061843872, -5.17130708694458, -1.3025387525558472, -2.6383421421051025, 2.874901294708252, -1.684493899345398, -1.073793888092041, -4.590117454528809]"
1.22,9.3,8.93,19.43,"[0.2694694995880127, -0.7427881360054016, 0.561644434928894, 0.7801997661590576, -2.6202352046966553, -0.8977871537208557, -0.35492876172065735, 3.778416156768799, 1.9993489980697632, -1.5917837619781494, 2.3038153648376465, 1.2464414834976196, 0.9846479296684265, -2.496387243270874, -2.489342212677002, 0.7535215020179749, -0.4888976514339447, 0.8864659667015076, -2.130948543548584, 0.13770806789398193, -2.951164484024048, -0.6041043400764465, -3.2347049713134766, 1.8838599920272827, -1.3630108833312988, 1.4987844228744507, -2.6796839237213135, -0.7529469728469849, -0.2827150225639343, -0.35396328568458557, 1.9620850086212158, 2.3861067295074463, -4.1348114013671875, 1.6420286893844604, 1.2289273738861084, 2.596292018890381, 1.0868024826049805, 0.83710116147995, 2.2611653804779053, 1.3984549045562744, 0.8488115668296814, -0.8404042720794678, -0.43085289001464844, -5.35200834274292, -2.747365713119507, 0.7644071578979492, -1.819403886795044, 6.5000901222229, 2.350020408630371, 0.5840187072753906]"
1.22,9.3,9.09,19.61,"[-0.40771788358688354, -1.6857692003250122, 0.4491243362426758, 1.1665695905685425, -2.411921977996826, 0.2659797966480255, -1.755816102027893, 3.2174060344696045, 1.5256997346878052, 0.049566399306058884, 1.7364814281463623, 1.7303903102874756, 0.7439412474632263, -2.351443290710449, -1.8871010541915894, 0.5459194779396057, 1.080637812614441, 0.49428442120552063, -2.823111057281494, 0.4124757647514343, -3.6476285457611084, -0.9026051759719849, -3.458326578140259, 1.165820837020874, -2.024991512298584, 3.114633798599243, -3.3508388996124268, -1.5298815965652466, 0.3297613561153412, 0.3034609258174896, 1.1499950885772705, -0.17918430268764496, -4.726778030395508, 1.5680185556411743, 0.4932687282562256, 2.277758836746216, 1.6619329452514648, 1.482144832611084, 1.0094486474990845, 0.26802486181259155, 1.5748298168182373, 0.06350761651992798, 0.21066810190677643, -4.050887107849121, -0.263982355594635, 0.06182175874710083, -0.3501153886318207, 4.950486660003662, 1.9612746238708496, 1.9079151153564453]"
1.89,9.86,8.77,20.51,"[-0.3932313024997711, -0.15335002541542053, -0.1823367029428482, 1.4282313585281372, -2.3668975830078125, -0.06692725419998169, -0.8296223878860474, 0.3879247307777405, 0.6771013736724854, 0.005269250366836786, 1.1051948070526123, 0.8315237164497375, 0.6101666688919067, -2.35998272895813, -2.3670148849487305, 2.2578110694885254, -0.275489866733551, 0.23748181760311127, -3.0135390758514404, 0.663633406162262, -2.6921448707580566, -1.6074515581130981, -1.6382468938827515, -0.3689267635345459, -2.826704978942871, 3.2128193378448486, -2.9738316535949707, -1.6707624197006226, 0.36245107650756836, -1.071228265762329, 2.412227153778076, -0.17558708786964417, -5.014761447906494, 2.7384023666381836, 1.5307008028030396, 3.6236109733581543, 1.1464585065841675, 1.538986325263977, 1.7329461574554443, 0.4530155658721924, 1.0927726030349731, -0.15908978879451752, 1.17508864402771, -5.252285480499268, -1.6263716220855713, 0.15575090050697327, -2.3691983222961426, 5.6406097412109375, 2.2434403896331787, 2.6743760108947754]"
4.56,12.11,8.07,24.74,"[-0.5292065739631653, -3.188390016555786, -10.27031421661377, 2.0976436138153076, -5.662943363189697, 6.604450702667236, 15.190197944641113, 5.251867294311523, -5.690088748931885, -1.710044503211975, 4.561540603637695, 10.528393745422363, -7.658111572265625, -2.168517827987671, -9.279888153076172, 4.564922332763672, -2.0184836387634277, -5.923145294189453, 8.749016761779785, 7.926131725311279, -13.553559303283691, -0.06396982073783875, -2.2535574436187744, 0.9684443473815918, -1.2697722911834717, 4.85634708404541, -7.986200332641602, -2.092667818069458, 1.3171466588974, -7.198131084442139, 7.904320240020752, 5.614276885986328, -18.11273765563965, -2.8565375804901123, -9.25478458404541, 7.212045669555664, -1.1107815504074097, 2.966431140899658, 4.689455986022949, 2.930009365081787, 0.9993265867233276, 0.7398139834403992, 7.093000411987305, -11.551692008972168, 1.1219465732574463, 7.446442127227783, -3.2700841426849365, 7.192638874053955, 4.756514072418213, 12.173968315124512]"
2.79,7.46,6.79,17.03,"[-1.6054710149765015, -2.7737581729888916, -0.15808071196079254, 0.4093361496925354, -1.8802056312561035, 2.6962530612945557, -4.768735885620117, -3.1498777866363525, -1.9839659929275513, 0.8280014395713806, 0.8639031052589417, 0.1757611334323883, 0.7128600478172302, 0.8510664105415344, -3.336256980895996, -1.405144214630127, -0.4421249032020569, 0.14042928814888, -1.903141736984253, 2.074079751968384, 1.469165325164795, -2.4692859649658203, -3.8443567752838135, 1.1587942838668823, 1.6031616926193237, -0.5369793176651001, -3.9148147106170654, -0.9367016553878784, 2.187631845474243, -0.8649225831031799, 2.6992528438568115, -1.1449776887893677, 3.9548025131225586, -4.545398235321045, -0.3202217221260071, 2.301403760910034, 0.8200820088386536, -0.7061046957969666, -1.276691198348999, -1.9884330034255981, 2.2207865715026855, -1.0067189931869507, -1.665677785873413, -0.3186039626598358, -0.8354756832122803, -2.270350694656372, 1.5988131761550903, -2.5714643001556396, -2.077162504196167, -5.56259298324585]"
2.68,7.32,6.47,16.46,"[-2.172227144241333, -2.5861611366271973, -0.6595763564109802, 0.7035923004150391, -1.0603857040405273, 2.509565591812134, -4.486383438110352, -2.278698682785034, -1.1197606325149536, 0.516648530960083, -0.5247917175292969, 0.45052334666252136, 1.6875486373901367, -0.04585043340921402, -3.025003433227539, 0.1543142944574356, -0.5595899224281311, -0.5674601197242737, -1.41240394115448, 2.1706650257110596, 0.9792259335517883, -2.1115803718566895, -2.79453706741333, 0.4474943280220032, 0.46986454725265503, -0.328092098236084, -2.438990592956543, -1.9481163024902344, 2.2151992321014404, -2.197303295135498, 2.674673557281494, -1.863633394241333, 2.792313575744629, -3.843102216720581, 1.7055838108062744, 1.7834783792495728, -0.028063682839274406, -1.298780918121338, -1.575029730796814, -1.511949896812439, 1.5369473695755005, -1.0429866313934326, -1.3604587316513062, 0.3848208487033844, -0.9033767580986023, -1.6542719602584839, 1.4697134494781494, -2.0049824714660645, -2.6737112998962402, -4.659700393676758]"
1.95,6.55,6.05,14.56,"[-1.6663492918014526, -2.9006564617156982, -0.06923174858093262, 1.3903894424438477, -2.1874074935913086, 3.190701484680176, -4.709388256072998, -3.327364206314087, -1.5635230541229248, 1.5293816328048706, -0.23335248231887817, -0.3917527496814728, 1.0406039953231812, -0.2893441617488861, -3.5808913707733154, -0.6369252800941467, 0.1023586243391037, -0.03992681950330734, -1.5536315441131592, 0.8595013618469238, 1.144992709159851, -2.162731170654297, -3.0375852584838867, 0.8464979529380798, -0.07108189910650253, -0.034683141857385635, -2.628274440765381, -1.695076823234558, 2.2350380420684814, -2.41670298576355, 2.7553951740264893, -1.8702753782272339, 2.3530538082122803, -3.686070680618286, 1.259310007095337, 1.6886308193206787, 0.4940488040447235, -1.2406134605407715, -1.1648350954055786, -2.3265750408172607, 2.1406149864196777, -1.516455888748169, -1.1412382125854492, -1.3530033826828003, -1.0888386964797974, -1.6397101879119873, 0.886302649974823, -3.057948350906372, -3.0024797916412354, -5.088199615478516]"
2.13,6.21,6.24,14.59,"[-1.3379340171813965, -3.2004878520965576, -0.2786546051502228, 1.5173062086105347, -1.806875467300415, 3.0513265132904053, -4.379189968109131, -3.001314401626587, -1.360862374305725, 1.2993924617767334, 0.05586910992860794, -0.6158854365348816, 1.2739646434783936, -0.5884020924568176, -3.5240046977996826, -1.0180596113204956, 0.07718075066804886, -0.629797637462616, -0.8761822581291199, 0.9497396349906921, 1.2743595838546753, -2.445788860321045, -3.09556245803833, 1.2184662818908691, 0.29156652092933655, -0.5088639855384827, -2.9947891235351562, -1.8784292936325073, 1.7928752899169922, -2.0249478816986084, 3.002000331878662, -1.4649202823638916, 2.3951878547668457, -3.525886297225952, 1.395872950553894, 1.2976793050765991, 0.8927727341651917, -1.3465241193771362, -0.9794860482215881, -2.0540366172790527, 1.874326467514038, -0.8172639608383179, -1.6282531023025513, -1.5284106731414795, -0.8228409290313721, -1.269726037979126, 0.9183209538459778, -2.3119099140167236, -3.043210029602051, -4.838208198547363]"
2.45,11.3,5.92,19.67,"[1.2200227975845337, 1.4685380458831787, -7.2044830322265625, 1.8229498863220215, -2.0524234771728516, 2.5367937088012695, -1.7949626445770264, 1.729443073272705, -1.7396036386489868, -1.7280797958374023, 2.2926692962646484, 1.213661551475525, -0.33594754338264465, -0.41286975145339966, 0.5065190196037292, -5.122220993041992, 1.686658501625061, 0.11508091539144516, 1.9420528411865234, -4.441205024719238, -0.5808818936347961, 1.5398194789886475, -1.3916065692901611, 0.5967770218849182, 3.620100975036621, 0.8519584536552429, -1.3885248899459839, -2.9317169189453125, 0.022314293310046196, -1.9695947170257568, 0.45007574558258057, 0.1560501903295517, -0.40960177779197693, 1.768518090248108, -3.725234031677246, -3.27101469039917, 0.9831978678703308, -1.309935450553894, 1.278342366218567, -1.4567270278930664, 1.9908361434936523, 0.04233330488204956, 0.5618914365768433, -3.7788424491882324, 0.334421306848526, -1.6170860528945923, -0.8431517481803894, -1.4619033336639404, -1.363864779472351, -1.4350849390029907]"
0.6,6.58,6.85,14.08,"[-2.1096510887145996, -0.08966479450464249, 0.4386959969997406, 0.04344257339835167, -0.7276140451431274, -0.9171789288520813, 1.1867467164993286, -1.0304052829742432, 0.8263483047485352, 4.244739532470703, 1.2105178833007812, 2.174442768096924, -1.9041757583618164, 0.8254127502441406, -0.3007409870624542, -2.074798583984375, 0.7011124491691589, -0.07735496759414673, -3.1930580139160156, -0.3897238075733185, -1.9543259143829346, 0.7476235032081604, -3.099149227142334, -1.4561678171157837, -0.3283451497554779, 0.8845458030700684, -3.3470733165740967, -1.0669608116149902, 0.16043315827846527, -2.0350613594055176, 1.7563915252685547, -1.7380735874176025, -1.3821624517440796, 0.27778133749961853, 0.315165251493454, 2.0131516456604004, -0.5410791039466858, -0.5150619149208069, -0.4465268552303314, -0.09659962356090546, -0.6559423208236694, -2.289388418197632, 1.81358003616333, -1.7888911962509155, -1.1070092916488647, 0.5801882743835449, -0.2671138644218445, 2.826045274734497, 4.019891262054443, 0.42498454451560974]"
0.57,6.18,6.27,13.02,"[-2.6002631187438965, 0.6610015630722046, 0.4420185685157776, -1.0158880949020386, -0.6706594228744507, 0.2176724225282669, 1.5227904319763184, -0.6315113306045532, -0.8391126394271851, 5.467496395111084, -0.3434060513973236, 2.240710735321045, -1.0900895595550537, 0.6872055530548096, 0.7389240860939026, -2.288651704788208, 0.7886946201324463, 0.451530784368515, -1.9810580015182495, 0.020597951486706734, -3.4646542072296143, 1.2563917636871338, -0.5604726076126099, -0.5167678594589233, -1.60423743724823, 0.9473186731338501, -4.940603256225586, -1.756795883178711, 1.1864092350006104, -3.0369889736175537, 2.0064661502838135, -2.30281138420105, -1.7434589862823486, 0.6163374185562134, 0.6549003720283508, 2.4211246967315674, -0.7573708891868591, -1.099879503250122, 1.1786551475524902, -0.2787950038909912, -0.1543436348438263, -2.0199851989746094, 1.1859931945800781, -2.1017022132873535, -1.916945219039917, 0.8206354975700378, 0.45609256625175476, 3.91786527633667, 3.775780439376831, 0.255450576543808]"
0.44,5.84,6.07,12.35,"[-3.052837371826172, 0.20687319338321686, -0.2955636978149414, 0.3628980219364166, -0.588495135307312, -0.6593207716941833, 0.7932525873184204, -0.751954197883606, 0.6763643026351929, 5.7756733894348145, -0.10473565012216568, 2.791058301925659, -1.7966663837432861, 1.9791508913040161, 1.0967681407928467, -1.4218701124191284, 0.35521790385246277, 1.6808205842971802, -2.0797858238220215, -1.1934423446655273, -3.060701370239258, 0.9909301996231079, -0.09779554605484009, -1.2262612581253052, -3.210643768310547, -0.33682888746261597, -3.4555981159210205, -1.3910146951675415, 1.1742501258850098, -2.032386302947998, 2.4818005561828613, -3.124969482421875, -1.8095654249191284, 0.3460689187049866, -1.2283238172531128, 1.105738878250122, 0.36429494619369507, -2.093991279602051, 1.6240932941436768, -0.8836633563041687, 0.49058565497398376, -1.856332778930664, 0.3770042061805725, -2.300652027130127, -0.5206704139709473, 1.3610196113586426, -0.03126837685704231, 3.4316470623016357, 3.0705602169036865, 1.020142674446106]"
5.42,13.12,8.12,26.65,"[-0.7131422758102417, -1.5115894079208374, -2.0233302116394043, -2.187291145324707, 0.7218291163444519, 0.9315822720527649, -1.9262171983718872, 0.49102601408958435, -1.3124245405197144, 0.9371805191040039, -1.3292040824890137, 1.5986499786376953, -1.0528265237808228, 0.2733152508735657, -2.9036552906036377, -1.2755036354064941, 1.7448443174362183, -2.2773494720458984, -3.692845344543457, -0.7969966530799866, -1.161216378211975, -0.6797435879707336, -2.4240221977233887, 0.12035045027732849, 5.361517429351807, -1.3119277954101562, -4.787806034088135, -1.301439881324768, 1.6623620986938477, -1.563331127166748, 3.7174293994903564, -1.676321268081665, 0.48311132192611694, 1.066044569015503, -0.6099237203598022, 1.081851840019226, -2.8203396797180176, 1.6541835069656372, -2.0244240760803223, -0.1301465630531311, 0.49561628699302673, 0.2196546047925949, 0.3212318420410156, -2.6477441787719727, -0.3511866629123688, -0.5383729338645935, 0.42332297563552856, 1.4132128953933716, -1.0695936679840088, -2.159844160079956]"
5.16,11.23,8.04,24.42,"[-0.756197452545166, -2.226310968399048, -2.470940113067627, -1.2093404531478882, -0.9475462436676025, 1.5080538988113403, -1.1909749507904053, 1.4518150091171265, -1.3176301717758179, 0.21719840168952942, 0.6338326930999756, 1.5482932329177856, -0.198955699801445, 0.33726951479911804, -1.8431172370910645, -2.475950002670288, 1.6537035703659058, -3.1062633991241455, -2.9840404987335205, -0.6522756218910217, -0.2939162254333496, -0.22916141152381897, -2.5647904872894287, 0.3970431387424469, 4.877739429473877, -0.48386669158935547, -3.7937135696411133, -0.8189098238945007, 0.7114579081535339, -0.817037045955658, 3.286931276321411, -2.0087223052978516, 1.1261463165283203, 1.3102248907089233, -0.4217735826969147, 0.7154473066329956, -1.1977150440216064, 0.9801046848297119, -0.9047728776931763, 0.7489922046661377, 0.17237499356269836, -1.5352365970611572, 0.7973488569259644, -2.5184214115142822, -1.2917453050613403, -0.49998363852500916, -0.5363884568214417, 1.5887994766235352, -0.7876060605049133, -2.5877950191497803]"
7.04,12.36,3.19,22.57,"[2.6405904293060303, 1.011100172996521, -5.021345615386963, 1.6393516063690186, -0.6715924143791199, 0.7768836617469788, -0.6822389364242554, 2.160569667816162, 0.9354959726333618, -2.736229419708252, 3.4382283687591553, -2.1917884349823, 2.1194965839385986, -3.096101760864258, -0.134328231215477, 0.4651755094528198, -1.1135231256484985, 2.0701169967651367, -2.0099174976348877, -3.092496156692505, 0.545260488986969, -2.163358211517334, -2.180187940597534, 2.422071933746338, 2.4249026775360107, 1.1842402219772339, 1.2083581686019897, -4.476649761199951, -1.4936360120773315, -2.7519500255584717, 2.7431235313415527, 2.3486135005950928, 0.1974387913942337, 0.7856844663619995, 2.8640639781951904, 0.6097623109817505, 0.3686825931072235, -5.917496204376221, 0.15712718665599823, 1.4523210525512695, -2.1417925357818604, -1.0026226043701172, 0.28299084305763245, -3.6247692108154297, 0.9941589832305908, -1.1403447389602661, -1.4913272857666016, 2.906672716140747, -2.6635499000549316, -1.5934455394744873]"
6.64,12.37,3.49,22.5,"[1.7361047267913818, -0.5993820428848267, -4.607176303863525, 2.3624606132507324, 0.3272175192832947, 0.48101791739463806, -0.8583447933197021, 2.926811695098877, 1.2338154315948486, -1.788972020149231, 2.842158794403076, -2.7629916667938232, 2.115368366241455, -2.5269358158111572, -0.7143017053604126, 1.6115642786026, -1.6536009311676025, 1.739152431488037, -1.722347617149353, -2.947411298751831, -0.31320416927337646, -1.671295404434204, -1.627303957939148, 2.18912935256958, 1.6970223188400269, 0.6912686824798584, -0.13098330795764923, -4.136013984680176, -0.8906421065330505, -2.4886481761932373, 1.6997259855270386, 0.9482507705688477, -1.0980136394500732, -0.10418744385242462, 3.3877861499786377, 0.23046162724494934, 1.0780270099639893, -5.658905029296875, 0.6913453340530396, 1.2028133869171143, -2.367015838623047, -0.7621991634368896, 0.1531030386686325, -3.7413697242736816, 1.4580997228622437, -1.1173344850540161, -1.6000043153762817, 2.637539863586426, -3.0693182945251465, -0.5069719552993774]"
5.49,9.3,3.61,18.41,"[3.369932174682617, -0.011988559737801552, -4.626996040344238, 2.164876937866211, 0.41368407011032104, 1.3093501329421997, -0.6519625186920166, 2.8251960277557373, 1.0251041650772095, -2.1512250900268555, 2.919584274291992, -2.374376058578491, 1.2775664329528809, -2.612130641937256, -0.6994141936302185, 1.8683472871780396, -1.5542948246002197, 1.5219476222991943, -1.1556966304779053, -2.3647565841674805, 0.06314947456121445, -2.247432231903076, -1.5671215057373047, 2.4001479148864746, 1.5730873346328735, 1.083828330039978, 0.18719075620174408, -4.6457085609436035, -1.0847642421722412, -2.302302122116089, 2.059353828430176, 1.2889752388000488, -1.0127865076065063, 0.1750195473432541, 2.578693151473999, 0.1738833636045456, 1.076319932937622, -5.01243782043457, 0.4563397467136383, 0.15463098883628845, -2.0211193561553955, -0.8989807963371277, -0.9469945430755615, -3.0829250812530518, 1.6408185958862305, -0.8852648138999939, -2.1579110622406006, 1.6931605339050293, -2.8000268936157227, -0.5156874656677246]"
